s,sigma_min,qdot_pinv_norm,qdot_dls_norm,pinv_task_error,dls_task_error
0.000000000000e+00,2.223636316634e-01,4.497138279850e+00,4.280703220596e+00,1.231296898486e-15,4.812728579505e-02
9.900000000000e-03,2.212227944391e-01,4.520329844560e+00,4.300638378516e+00,2.640146549526e-15,4.860076003267e-02
1.980000000000e-02,2.200037714822e-01,4.545376623605e+00,4.322133576558e+00,9.441550253119e-16,4.911431230746e-02
2.970000000000e-02,2.187138176618e-01,4.572184833546e+00,4.345100391395e+00,1.367617966595e-15,4.966650527442e-02
3.960000000000e-02,2.173592871634e-01,4.600677583417e+00,4.369464795169e+00,2.071652067330e-15,5.025624683666e-02
4.950000000000e-02,2.159457499910e-01,4.630792687708e+00,4.395165232427e+00,8.845116684695e-16,5.088274754898e-02
5.940000000000e-02,2.144780960852e-01,4.662480776605e+00,4.422150946258e+00,9.194558097869e-16,5.154548444543e-02
6.930000000000e-02,2.129606269597e-01,4.695703681363e+00,4.450380536793e+00,1.028923559080e-15,5.224417067521e-02
7.920000000000e-02,2.113971355136e-01,4.730433066514e+00,4.479820729016e+00,9.379577808175e-16,5.297873027148e-02
8.910000000000e-02,2.097909750508e-01,4.766649279159e+00,4.510445324829e+00,1.258849993641e-15,5.374927739071e-02
9.900000000000e-02,2.081451186886e-01,4.804340386650e+00,4.542234314908e+00,1.455663516429e-15,5.455609941185e-02
1.089000000000e-01,2.064622103460e-01,4.843501376471e+00,4.575173127633e+00,1.186657370896e-15,5.539964335321e-02
1.188000000000e-01,2.047446084355e-01,4.884133495095e+00,4.609251994829e+00,1.312904923172e-15,5.628050513819e-02
1.287000000000e-01,2.029944232833e-01,4.926243705743e+00,4.644465416533e+00,1.544963855124e-15,5.719942131184e-02
1.386000000000e-01,2.012135491822e-01,4.969844247887e+00,4.680811709515e+00,1.560684349165e-15,5.815726287493e-02
1.485000000000e-01,1.994036918704e-01,5.014952284082e+00,4.718292626454e+00,1.480706144295e-15,5.915503096002e-02
1.584000000000e-01,1.975663921156e-01,5.061589622058e+00,4.756913034713e+00,2.307430027381e-15,6.019385412384e-02
1.683000000000e-01,1.957030459890e-01,5.109782502089e+00,4.796680645323e+00,1.642335193289e-15,6.127498707395e-02
1.782000000000e-01,1.938149223239e-01,5.159561441449e+00,4.837605784291e+00,1.934922105009e-15,6.239981068389e-02
1.881000000000e-01,1.919031777815e-01,5.210961129255e+00,4.879701199545e+00,2.315938352023e-15,6.356983318303e-02
1.980000000000e-01,1.899688698766e-01,5.264020366335e+00,4.922981897895e+00,1.253085280706e-15,6.478669243405e-02
2.079000000000e-01,1.880129682669e-01,5.318782045822e+00,4.967465007201e+00,8.549494500516e-16,6.605215923388e-02
2.178000000000e-01,1.860363645586e-01,5.375293171163e+00,5.013169659698e+00,9.415458367318e-16,6.736814159414e-02
2.277000000000e-01,1.840398808420e-01,5.433604909027e+00,5.060116892952e+00,1.522128910382e-15,6.873668997449e-02
2.376000000000e-01,1.820242771406e-01,5.493772675320e+00,5.108329565424e+00,1.319941335158e-15,7.016000345764e-02
2.475000000000e-01,1.799902579256e-01,5.555856253138e+00,5.157832283982e+00,1.915652442423e-15,7.164043686899e-02
2.574000000000e-01,1.779384778269e-01,5.619919942065e+00,5.208651340975e+00,1.596607989583e-15,7.318050885602e-02
2.673000000000e-01,1.758695466500e-01,5.686032738745e+00,5.260814658754e+00,1.939086646940e-15,7.478291095536e-02
2.772000000000e-01,1.737840337943e-01,5.754268549111e+00,5.314351739629e+00,9.450151931119e-16,7.645051768565e-02
2.871000000000e-01,1.716824721508e-01,5.824706433173e+00,5.369293619408e+00,1.164778476144e-14,7.818639771639e-02
2.970000000000e-01,1.695653615490e-01,5.897430883671e+00,5.425672822694e+00,4.944796025126e-15,7.999382617313e-02
3.069000000000e-01,1.674331718098e-01,5.972532140383e+00,5.483523318144e+00,3.052413434280e-15,8.187629815039e-02
3.168000000000e-01,1.652863454552e-01,6.050106542352e+00,5.542880471835e+00,2.408126109457e-15,8.383754351530e-02
3.267000000000e-01,1.631253001178e-01,6.130256920770e+00,5.603780996840e+00,3.045931394773e-15,8.588154309588e-02
3.366000000000e-01,1.609504306851e-01,6.213093035810e+00,5.666262896955e+00,1.486110376971e-15,8.801254636035e-02
3.465000000000e-01,1.587621112116e-01,6.298732061247e+00,5.730365402366e+00,1.673629708129e-15,9.023509070635e-02
3.564000000000e-01,1.565606966264e-01,6.387299121350e+00,5.796128894806e+00,1.071851370329e-15,9.255402249257e-02
3.663000000000e-01,1.543465242573e-01,6.478927885237e+00,5.863594819486e+00,2.006795417394e-15,9.497451995924e-02
3.762000000000e-01,1.521199151941e-01,6.573761224648e+00,5.932805580707e+00,1.750376389175e-15,9.750211819956e-02
3.861000000000e-01,1.498811755077e-01,6.671951942013e+00,6.003804417677e+00,1.997090936999e-15,1.001427363600e-01
3.960000000000e-01,1.476305973393e-01,6.773663576674e+00,6.076635256533e+00,1.531127121394e-15,1.029027072648e-01
4.059000000000e-01,1.453684598741e-01,6.879071298313e+00,6.151342533969e+00,1.461012082638e-15,1.057888096788e-01
4.158000000000e-01,1.430950302099e-01,6.988362897949e+00,6.227970987193e+00,1.656859810468e-15,1.088083034410e-01
4.257000000000e-01,1.408105641307e-01,7.101739888434e+00,6.306565404089e+00,2.061458845221e-15,1.119689677231e-01
4.356000000000e-01,1.385153067932e-01,7.219418728162e+00,6.387170326479e+00,1.397997709718e-15,1.152791426873e-01
4.455000000000e-01,1.362094933342e-01,7.341632183790e+00,6.469829698264e+00,2.013774128136e-15,1.187477748410e-01
4.554000000000e-01,1.338933494040e-01,7.468630850235e+00,6.554586448846e+00,1.476697050695e-15,1.223844664060e-01
4.653000000000e-01,1.315670916319e-01,7.600684849052e+00,6.641482000685e+00,2.918926775039e-15,1.261995290446e-01
4.752000000000e-01,1.292309280270e-01,7.738085729689e+00,6.730555687980e+00,3.413218212649e-15,1.302040423051e-01
4.851000000000e-01,1.268850583192e-01,7.881148602104e+00,6.821844071321e+00,1.736361149274e-15,1.344099171662e-01
4.950000000000e-01,1.245296742415e-01,8.030214533930e+00,6.915380130593e+00,1.415143139199e-15,1.388299650808e-01
5.049000000000e-01,1.221649597574e-01,8.185653251032e+00,7.011192315489e+00,3.023391613784e-15,1.434779729272e-01
5.148000000000e-01,1.197910912325e-01,8.347866186967e+00,7.109303429478e+00,1.891761883182e-15,1.483687842796e-01
5.247000000000e-01,1.174082375545e-01,8.517289934923e+00,7.209729319040e+00,2.823912970130e-15,1.535183874065e-01
5.346000000000e-01,1.150165601974e-01,8.694400165367e+00,7.312477335222e+00,2.521699085393e-15,1.589440103815e-01
5.445000000000e-01,1.126162132331e-01,8.879716084306e+00,7.417544529039e+00,3.728240396708e-15,1.646642236514e-01
5.544000000000e-01,1.102073432875e-01,9.073805521211e+00,7.524915535787e+00,1.459743778797e-15,1.706990503382e-01
5.643000000000e-01,1.077900894384e-01,9.277290752891e+00,7.634560095824e+00,1.450714301229e-15,1.770700844484e-01
5.742000000000e-01,1.053645830548e-01,9.490855190686e+00,7.746430150667e+00,1.790127884742e-15,1.838006170119e-01
5.841000000000e-01,1.029309475722e-01,9.715251084212e+00,7.860456443167e+00,3.103477992814e-15,1.909157699547e-01
5.940000000000e-01,1.004892982007e-01,9.951308426923e+00,7.976544538902e+00,1.480478507197e-15,1.984426372193e-01
6.039000000000e-01,9.803974156004e-02,1.019994528839e+01,8.094570172640e+00,2.488715821807e-15,2.064104322348e-01
6.138000000000e-01,9.558237523669e-02,1.046217984774e+01,8.214373808491e+00,1.735903553917e-15,2.148506403024e-01
6.237000000000e-01,9.311728725431e-02,1.073914446486e+01,8.335754285307e+00,2.439494940601e-15,2.237971737337e-01
6.336000000000e-01,9.064455545065e-02,1.103210220436e+01,8.458461399657e+00,4.700374988596e-15,2.332865266315e-01
6.435000000000e-01,8.816424675085e-02,1.134246632681e+01,8.582187257683e+00,3.848860417157e-15,2.433579249516e-01
6.534000000000e-01,8.567641632704e-02,1.167182338933e+01,8.706556204308e+00,2.182855702050e-15,2.540534658649e-01
6.633000000000e-01,8.318110663259e-02,1.202196076108e+01,8.831113114416e+00,2.408595924337e-15,2.654182383454e-01
6.732000000000e-01,8.067834629881e-02,1.239489957189e+01,8.955309806511e+00,4.799854234694e-15,2.775004142172e-01
6.831000000000e-01,7.816814888125e-02,1.279293438967e+01,9.078489316797e+00,9.730891561460e-15,2.903512954678e-01
