s,sigma_min,condition_number,rank
0.000000,2.223636316634e-01,8.305396883543e+00,6
0.010000,2.212108589358e-01,8.350869613465e+00,6
0.020000,2.199783910044e-01,8.400749877589e+00,6
0.030000,2.186736901254e-01,8.454869545912e+00,6
0.040000,2.173032834569e-01,8.513089886917e+00,6
0.050000,2.158728852410e-01,8.575297335232e+00,6
0.060000,2.143875058193e-01,8.641399940320e+00,6
0.070000,2.128515474111e-01,8.711324437458e+00,6
0.080000,2.112688873819e-01,8.785013869144e+00,6
0.090000,2.096429501233e-01,8.862425681840e+00,6
0.100000,2.079767688141e-01,8.943530225636e+00,6
0.110000,2.062730383372e-01,9.028309590373e+00,6
0.120000,2.045341605510e-01,9.116756719315e+00,6
0.130000,2.027622829992e-01,9.208874749579e+00,6
0.140000,2.009593320210e-01,9.304676536526e+00,6
0.150000,1.991270410937e-01,9.404184326871e+00,6
0.160000,1.972669751268e-01,9.507429552058e+00,6
0.170000,1.953805513184e-01,9.614452719495e+00,6
0.180000,1.934690570949e-01,9.725303384388e+00,6
0.190000,1.915336655714e-01,9.840040189351e+00,6
0.200000,1.895754489075e-01,9.958730962570e+00,6
0.210000,1.875953898676e-01,1.008145286833e+01,6
0.220000,1.855943918538e-01,1.020829260617e+01,6
0.230000,1.835732876308e-01,1.033934665678e+01,6
0.240000,1.815328469331e-01,1.047472157458e+01,6
0.250000,1.794737831130e-01,1.061453432801e+01,6
0.260000,1.773967589628e-01,1.075891268959e+01,6
0.270000,1.753023918267e-01,1.090799567916e+01,6
0.280000,1.731912580985e-01,1.106193406380e+01,6
0.290000,1.710638971869e-01,1.122089091951e+01,6
0.300000,1.689208150195e-01,1.138504225978e+01,6
0.310000,1.667624871447e-01,1.155457773740e+01,6
0.320000,1.645893614823e-01,1.172970142656e+01,6
0.330000,1.624018607676e-01,1.191063269310e+01,6
0.340000,1.602003847256e-01,1.209760716188e+01,6
0.350000,1.579853120083e-01,1.229087779144e+01,6
0.360000,1.557570019218e-01,1.249071606735e+01,6
0.370000,1.535157959686e-01,1.269741332713e+01,6
0.380000,1.512620192247e-01,1.291128223158e+01,6
0.390000,1.489959815691e-01,1.313265839907e+01,6
0.400000,1.467179787825e-01,1.336190222195e+01,6
0.410000,1.444282935259e-01,1.359940088682e+01,6
0.420000,1.421271962140e-01,1.384557062353e+01,6
0.430000,1.398149457894e-01,1.410085921171e+01,6
0.440000,1.374917904094e-01,1.436574877749e+01,6
0.450000,1.351579680504e-01,1.464075891863e+01,6
0.460000,1.328137070366e-01,1.492645020183e+01,6
0.470000,1.304592264989e-01,1.522342808323e+01,6
0.480000,1.280947367665e-01,1.553234731115e+01,6
0.490000,1.257204396968e-01,1.585391688018e+01,6
0.500000,1.233365289436e-01,1.618890561721e+01,6
0.510000,1.209431901680e-01,1.653814849399e+01,6
0.520000,1.185406011914e-01,1.690255377742e+01,6
0.530000,1.161289320916e-01,1.728311114901e+01,6
0.540000,1.137083452421e-01,1.768090094900e+01,6
0.550000,1.112789952930e-01,1.809710473014e+01,6
0.560000,1.088410290925e-01,1.853301734178e+01,6
0.570000,1.063945855457e-01,1.899006080879e+01,6
0.580000,1.039397954085e-01,1.946980032362e+01,6
0.590000,1.014767810117e-01,1.997396273592e+01,6
0.600000,9.900565590978e-02,2.050445800687e+01,6
0.610000,9.652652444994e-02,2.106340419791e+01,6
0.620000,9.403948125218e-02,2.165315669254e+01,6
0.630000,9.154461059360e-02,2.227634251259e+01,6
0.640000,8.904198568668e-02,2.293590079706e+01,6
0.650000,8.653166784091e-02,2.363513077564e+01,6
0.660000,8.401370549595e-02,2.437774890889e+01,6
0.670000,8.148813311334e-02,2.516795730771e+01,6
0.680000,7.895496991313e-02,2.601052612016e+01,6
0.690000,7.641421844188e-02,2.691089333142e+01,6
0.700000,7.386586295931e-02,2.787528642918e+01,6
0.710000,7.130986763378e-02,2.891087173559e+01,6
0.720000,6.874617454233e-02,3.002593903267e+01,6
0.730000,6.617470148103e-02,3.123013160383e+01,6
0.740000,6.359533960855e-02,3.253473526548e+01,6
0.750000,6.100795097407e-02,3.395304478993e+01,6
0.760000,5.841236602610e-02,3.550083295929e+01,6
0.770000,5.580838127093e-02,3.719695731026e+01,6
0.780000,5.319575736477e-02,3.906415393841e+01,6
0.790000,5.057421810410e-02,4.113008891106e+01,6
0.800000,4.794345106580e-02,4.342876973099e+01,6
0.810000,4.530311110164e-02,4.600246821739e+01,6
0.820000,4.265282861268e-02,4.890438275571e+01,6
0.830000,3.999222567994e-02,5.220239044396e+01,6
0.840000,3.732094497742e-02,5.598444069671e+01,6
0.850000,3.463869938154e-02,6.036648059693e+01,6
0.860000,3.194535505114e-02,6.550439041918e+01,6
0.870000,2.924106869349e-02,7.161246381895e+01,6
0.880000,2.652651275469e-02,7.899293676046e+01,6
0.890000,2.380324362329e-02,8.808490443896e+01,6
0.900000,2.107430271831e-02,9.954881308058e+01,6
0.910000,1.834519601345e-02,1.144197258559e+02,6
0.920000,1.562548329719e-02,1.344020459461e+02,6
0.930000,1.293132983827e-02,1.624778601932e+02,6
0.940000,1.028951218021e-02,2.042783999665e+02,6
0.950000,7.743426587548e-03,2.715473510581e+02,6
0.960000,5.361301069918e-03,3.923300914534e+02,6
0.970000,3.245284120001e-03,6.483261869324e+02,6
0.980000,1.536165028871e-03,1.369979868004e+03,6
0.990000,4.023098062877e-04,5.232128524953e+03,6
1.000000,1.133174484130e-17,inf,5
